Drugs,RPS4Y1,DDX3Y,EIF1AY,XIST,XIST,XIST,CYP2C8,FAM76B,DDX3Y,XIST,KDM5D,XIST,ANKRD1,EIF1AY,PMAIP1,ERAP2,TXLNGY,ZFY,EDNRB,CYP3A4,COL1A1,LOC101928820,XIST,MMP1,IGFBP7,SULT1C2,PMAIP1,TNC,C5orf27,SULT1C2,HSP90B1,TXLNGY,ROBO1,SPG20,HTATSF1P2,CCL2,PLA2G2A,LMCD1,CYP2A6,TAGLN,ERAP2,CHI3L1,CYP2A6,GSTT1,CXCL5,TM9SF3,PANK2,IL20RB,CYP2B6,NCKAP1,UTP18,MGAM,RHEB,ALG5,CHI3L1,ERAP2,C6orf141,DAAM1,SLCO1B3,ALB,ZNF880,TXN,ANXA1,DDX3Y,PNN,MREG,CALCA,CYP3A4,ERAP2,PTX3,ENPP2,AKR1D1,GSTM3,IFI16,EMC7,AKR1B10,SEMA3C,HSPA6,LOC220729 /// SDHA /// SDHAP1 /// SDHAP2,DCN,TWF1,CXCL6,SLC51A,SLC7A11,TTTY15,CYP2A6,MMP10,RPAIN,ACSL4,MTPN,MMP3,MMP12,LOC338620,HSPA6,MYO1D,RASSF4,ACSM2A,TSPAN8,EME1,LOC100507389
amiodarone,5.527931084,2.626592873,2.767868571,9.58707541,9.796380727,8.59883596,8.330984211,4.004938652,3.837838898,8.041364299,3.452322548,7.202577954,5.283212922,2.701527821,3.180499889,8.459099192,2.614929354,2.43614866,3.397837974,5.823406915,7.218734453,4.667656113,6.943697242,5.09289867,4.908021176,8.237018521,4.956627164,5.105453103,4.216549601,7.92135719,6.691751018,2.567430699,7.183001947,8.006838537,4.345461957,6.125833756,12.74051594,6.939977088,7.495410041,5.885198837,8.360703293,11.1850673,7.551665253,8.464775554,4.443273194,4.708476604,3.205552632,8.139936947,7.341498862,5.355664997,3.197988405,5.268741779,4.662931779,3.841556017,10.76168068,7.257092442,3.81470914,8.058144128,5.257885563,7.790008843,2.881251078,7.273706287,7.988084478,3.533032702,5.257084658,8.853454574,8.727008946,6.868412593,7.651809571,2.911023374,7.021075013,4.239210493,6.933622407,5.079754166,4.101228269,11.65036984,2.69371786,7.853660758,4.681714564,4.892805251,4.737364002,5.385608072,8.802820177,5.572022797,2.761946873,7.38296163,5.497193675,4.532156607,5.853280215,3.848973271,6.609126194,3.753354631,6.1507915,7.468450039,7.692182749,7.622218156,8.803484293,7.576047264,6.971499211,7.507414804
amitriptyline,4.433606675,3.211967794,3.320367,10.10929333,8.997047718,8.750407049,9.658724568,8.981782026,3.490503875,7.982952239,3.626965365,7.679221082,10.48420748,3.503484368,8.502436733,3.740043906,3.372204826,3.098650283,8.418474015,9.584894301,8.171826081,6.710087409,7.224972564,9.551456287,8.741868518,4.63570176,9.453247002,9.486818359,8.388389699,5.10986109,9.538868421,3.11940768,6.833629072,4.384640978,3.107394654,10.08903474,8.066103255,10.91615913,9.573726311,9.071363295,4.119544057,7.211457422,9.169488487,8.092775266,7.856760733,8.009490976,6.370060584,4.786442704,8.19565537,8.49877224,6.924281497,8.274894579,7.778683409,7.28029826,7.122785163,3.693990966,7.51847227,4.518442735,4.922798105,10.83299573,6.012170914,10.36605638,10.37314532,3.517737258,8.26608186,6.579167391,5.622945913,10.32045693,3.898891564,7.564392959,3.688103925,6.454982976,5.647445313,8.225178099,7.248062022,13.19057308,5.123514264,10.94091058,6.423231817,8.40928927,6.971696061,7.9878932,5.17898494,8.53717283,3.581337138,8.754500287,8.906783987,7.440923097,7.674504674,7.109797927,9.294308971,6.970835451,6.899353006,10.08286987,4.642484393,4.551876274,6.492898087,4.422630786,9.717978171,5.899211902
aspirin,5.412277683,2.753602742,2.846265297,9.606152662,9.67767316,8.628666653,8.395690304,3.917921615,3.513334076,7.783572949,3.370699806,6.65972785,4.598950611,2.779704025,3.21627131,8.22384438,2.666621159,2.557178351,3.223197663,5.434104233,7.029694923,4.280807563,6.782718324,4.741741693,4.091910756,8.186916134,4.207671168,4.684531775,4.167313,8.093002923,5.994165255,2.529060422,7.18102856,7.212506359,3.536020018,5.620602033,12.66964092,6.37824676,7.334457142,5.411122344,7.777285793,11.01565628,7.386429345,8.497719338,4.031598576,3.826271415,3.283661335,8.040843297,6.839493552,4.440287005,3.27912507,4.001138822,4.631333086,3.650415596,10.7730558,6.989468913,3.415814604,7.695506702,4.507234615,7.874501753,2.828035777,7.121897256,7.309458347,3.576719962,4.819941286,8.69128034,8.575029209,6.782708696,7.073163582,2.794672916,7.287349824,3.834628614,6.628603205,4.603778209,3.933628198,11.65069553,2.71258463,7.527396341,4.465894491,4.884674047,4.276046665,4.583460539,9.150473731,4.841420579,2.775468786,7.247903074,5.181903455,4.258067993,3.674446392,3.464118466,6.487972216,3.502087536,5.349407217,6.972500557,7.17942497,7.432149434,8.733557058,7.599416428,7.045058966,7.919062372
bendazac,12.05505622,10.02343429,10.0267501,4.480315282,3.906423174,4.269444249,10.9715918,5.709281284,8.743638427,3.20108871,8.268551023,3.108672288,8.512434847,7.875648681,5.140022073,4.233134671,7.87719784,7.927950816,4.099159349,8.318329103,3.909834152,9.094334632,2.928511515,6.625346951,5.464761255,5.883386211,6.876972567,7.682144363,8.439781932,6.201132517,6.54248951,7.344621845,3.515398653,9.319215074,8.225800388,6.957831061,11.41352345,8.795447418,9.258454889,7.744431981,4.462750113,9.303771362,9.265164598,4.705754518,4.183594546,5.410386826,3.838821367,7.992141042,8.821531906,6.26455717,3.717822259,4.186001787,5.323940135,4.332509089,8.700681825,3.573026854,6.628702177,9.322273696,7.957735034,8.181048837,6.920952197,8.02901496,9.067469524,7.4170293,5.453097781,5.453694074,5.24204447,8.568144313,4.168590829,3.679321444,3.435125908,7.787226148,8.410591738,4.924578996,4.328674173,12.52359698,7.470078706,9.942344354,4.662561931,4.813700482,5.722494909,7.481399839,7.271770918,8.563447486,6.5640882,8.763653862,7.096303651,5.178605863,8.386088122,4.598130852,9.915416923,6.25285829,8.335780293,9.205365223,7.034099134,7.973367674,6.812404937,7.651341188,7.586622494,6.14936761
benzbromarone,5.273490993,2.641753056,2.766519716,9.75527587,9.895011129,8.553389555,8.218587093,3.228441637,3.571756957,7.952019633,3.131948397,7.244794871,4.914544784,2.670848098,3.371265226,8.110914385,2.687257653,2.484306775,3.3104046,5.694595283,7.567007837,3.919539928,7.073694581,5.130282813,4.068561227,8.269338572,4.646545938,4.677934582,4.423126777,7.820618323,6.197744409,2.711171354,7.16856278,7.13779406,3.155526802,5.444856507,12.50413755,6.832178009,7.240405257,5.437028244,7.663952372,11.0594599,7.453423992,8.369263199,3.957357803,4.070395851,3.242832987,7.852207909,7.0330962,4.828326168,3.218991116,4.54859637,4.543959029,3.891941484,10.77275502,7.003557986,3.222218756,7.954027577,4.514809699,7.44730613,2.809533883,7.008449498,7.453094928,3.464676892,4.687892722,8.383592733,8.42131843,7.05300618,7.333621022,2.833345954,6.951260072,3.682765576,6.516236174,4.258949685,3.946857828,11.53515622,2.787890218,7.586650576,4.610571895,4.918609167,4.176300501,4.384374695,8.560982744,5.739305744,2.744114938,7.274502875,5.464052821,4.101077887,4.796443597,3.467914925,6.281213233,3.79315334,5.016928401,7.009448605,7.626805599,7.199808339,8.304327351,7.35621795,6.710738793,7.379942758
benziodarone,4.495219177,3.537612958,3.568462694,10.32737291,9.27397628,9.161252193,5.028233782,9.830708922,4.049357064,8.244118475,4.219292991,8.345908067,10.06430794,3.856397145,4.605983835,6.656941736,3.64740845,3.352243199,3.882584524,5.804292159,3.541031131,9.380112749,7.392110512,9.207363845,3.478812969,3.630581985,6.257773059,5.380164259,6.759712751,3.740384746,10.38149537,3.382444633,3.988815745,8.691042621,4.208879977,7.64938361,13.38009523,7.200766059,5.180097409,6.316357442,7.434626006,7.071876975,4.732326957,8.326021723,3.999830914,8.156855774,7.173016075,5.22909166,4.912124827,8.533295903,6.75587068,5.141684496,8.502887669,7.537081038,6.906780725,5.58653497,4.981527366,7.860922697,4.852864996,11.51614317,4.283256585,10.57436326,6.417795446,3.798532309,8.755336909,6.211275278,4.838734257,7.31510551,6.102042097,3.710590829,4.585129573,4.15081261,9.782843428,5.149405507,7.357009642,10.05618794,3.745620535,11.62148765,9.207694022,4.674369488,8.275428233,7.684077186,5.861105788,5.898419054,3.845639322,4.949208118,8.252656239,7.774182622,7.611632031,7.244017696,8.418653113,4.707360732,4.680568006,10.79728581,3.973564669,5.141620087,7.026488396,5.815166284,10.38895482,4.396570975
bromobenzene,4.402802743,2.429592589,2.557161415,9.107740046,9.221924757,8.058885644,7.776082356,2.923607855,3.316277822,7.281462531,3.06041939,6.661405352,3.980610476,2.515666151,2.799025277,7.909072047,2.393391437,2.244722898,3.051496442,4.958474766,6.926144131,3.846266672,6.05016403,4.733644573,3.852479553,7.553313892,3.9673369,4.628896154,4.117022767,7.527982994,5.838796513,2.554961615,6.843818274,6.638869841,3.096813455,5.457153309,12.34000766,6.320266538,6.632010815,5.126790144,7.293886682,10.73102579,6.867985817,8.032507953,3.521422901,3.972871857,2.725029453,7.675088824,6.387447718,4.846153495,2.78651371,4.199700688,3.902542812,3.532390618,10.46594624,6.638432383,2.666729299,7.576880053,4.27912734,6.686184759,2.579457859,6.488213519,7.111861975,2.961455598,4.080786362,8.086069284,7.994491191,6.480527643,7.204610905,2.597426743,6.974688049,3.602582332,6.55190184,3.457131298,3.702704482,11.43473008,2.402686115,7.176217779,4.085086264,4.562341779,3.607796818,4.284012099,8.300547838,5.270398724,2.501302809,6.57455108,4.851830613,4.149603159,3.834983016,3.25467161,5.705892323,3.047477115,5.048515176,6.613464337,7.323203002,7.029310251,8.446500367,6.973989523,6.354029503,7.018612127
bromoethylamine,11.82184319,9.884075567,9.788359122,4.290355909,3.42290533,3.062763249,10.66753414,5.838867319,8.692050119,3.040424636,8.310360863,2.727261045,8.454884413,7.609267281,5.530777026,3.980551035,7.476821491,7.429698146,3.477853824,8.076298692,3.484480136,8.891321466,2.538331265,6.616698301,4.46539948,5.921330863,7.066187717,7.477129207,8.414409957,6.122967964,6.133804695,6.778883079,2.927982778,8.909506999,7.729871147,5.886571188,11.47149485,8.740534354,9.284062233,7.084474051,4.795323719,9.131687105,9.302383887,4.176688007,5.105718277,5.157431468,3.481662155,7.927346563,9.067875583,5.382437996,3.565777526,3.671428087,4.982888683,3.931434094,8.7212056,3.384765793,6.219373036,8.698425006,7.976439094,7.942970889,6.333572587,7.309285117,8.06229524,7.2509742,5.256962135,5.172656691,4.737772221,8.319530104,3.70929487,3.247494635,3.076970458,7.603557802,8.13408388,4.605682872,3.908275464,12.3878297,6.321562961,10.20356525,4.247376039,5.294374724,5.631249152,6.886047741,6.684325832,8.836877001,6.441369349,8.970559742,7.092356083,4.895988053,8.138649092,4.182862715,9.786975694,5.791252204,8.252876877,9.143865071,6.965455483,7.557371016,5.902638064,7.027923107,7.038545028,5.804844608
bucetin,3.643028698,3.20380536,3.304780012,9.31060938,7.312957215,7.621474026,3.35184296,7.510352959,3.282218354,6.676865994,3.483243552,6.449666934,8.67839206,3.188402939,3.546586496,4.61081699,3.173888354,3.050861529,3.211946094,4.13038037,3.039290162,8.287527312,4.705047308,6.835198751,3.158458009,3.274147333,4.396989508,3.945095957,5.632320347,3.145701908,9.559312278,3.057944598,3.427303894,7.04365868,3.624228574,6.236632421,12.53659916,5.196085513,4.119087508,4.559083979,5.146237343,5.150179345,3.937799788,7.341947034,3.431747309,6.778393715,4.944109754,3.871547943,3.468138712,8.071914387,4.034483548,4.000222296,7.644862093,6.252113005,5.677812219,4.220757015,3.528284886,6.028720913,3.769804088,10.6287475,3.376011041,10.32580801,4.649717077,3.256321248,7.060948045,4.072712551,3.701765697,5.04215649,3.9906213,3.156016722,3.556881783,3.306991763,8.67539473,3.757270219,5.437749787,8.512879368,3.109753595,10.62294387,7.829412888,3.632986249,6.872633526,6.084290181,4.261263118,3.898093366,3.34487528,4.346223571,5.978392498,5.97404912,4.630395929,5.202386688,6.105774583,3.318763204,3.799054759,10.18568907,3.483122741,3.759557689,4.25834366,3.728410634,8.853159086,3.397385202
buthionine_sulfoximine,12.11578057,10.02194953,9.823207419,4.229039979,3.975634955,3.598093366,10.54770785,5.259309809,8.786285874,3.1195983,8.66840787,2.955553533,8.549800343,7.872196676,5.357615244,4.208531609,7.718890454,7.791172298,3.941783734,8.036378062,4.2408015,9.160977431,2.76857513,6.374911443,5.635945268,6.039698577,6.749241951,7.699385094,8.545531122,6.29049715,6.219280469,7.298105394,3.231582772,9.176054926,7.886611456,7.06428405,11.3408702,9.245028726,9.135204624,7.971818442,5.037651985,9.355939419,9.100375976,4.508111656,4.922597131,5.483187639,3.647051778,7.814255918,8.857954777,5.682040039,3.668598063,4.223027723,5.542087949,4.072385306,8.788749378,3.448992556,6.760841705,9.041457929,8.080292252,8.396047292,6.885099016,7.798793914,9.012899407,7.096942013,5.880906501,5.699684341,5.071273954,8.33875653,4.132841384,3.500043498,3.329336092,7.56614942,8.280491435,5.006031558,4.592858057,12.4599124,7.147860389,10.539915,4.596597362,5.198992187,5.424303218,7.500047355,7.414227077,8.72647399,6.781661225,8.579647233,7.082608379,4.68168597,8.18577383,4.282547397,9.836510764,6.034273101,8.52628499,9.706102547,7.444258477,8.060674663,6.835523993,7.43751874,7.520409072,5.896680319
